Dates,Times,closePrices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
10/24/2021,12:00PM,60384.31,107.07999999999447,0.0,147.64562499999988,132.1743452380951,1.1170520628192655,52.76450600518978
10/24/2021,1:00PM,60497.01,112.70000000000437,0.0,147.98104166666656,131.49593749999988,1.12536588186739,52.949277649955526
10/24/2021,2:00PM,60086.675,0.0,-410.3349999999991,147.11238095238082,132.7171726190475,1.108465302939006,52.572138673276136
10/24/2021,3:00PM,59971.25,0.0,-115.42500000000291,147.11238095238082,132.6878869047618,1.1087099537425926,52.57764121494403
10/24/2021,4:00PM,60320.53,349.27999999999884,0.0,147.3400744047618,132.6878869047618,1.1104259615688714,52.616200794999266
10/24/2021,5:00PM,60288.975,0.0,-31.55500000000029,147.0944345238094,132.78180059523797,1.1077906299237574,52.55695770712426
10/24/2021,6:00PM,60114.505,0.0,-174.47000000000116,147.0944345238094,132.9626636904761,1.106283752454228,52.52301600699305
10/24/2021,7:00PM,60635.555,521.0500000000029,0.0,148.64517857142846,132.817857142857,1.1191656134878596,52.81161634393758
10/24/2021,8:00PM,61036.78,401.22499999999854,0.0,149.39440476190464,132.817857142857,1.1248066184445222,52.93689358271784
10/24/2021,9:00PM,60929.42,0.0,-107.36000000000058,149.39440476190464,132.96958333333322,1.123523147300515,52.90844833637771
10/24/2021,10:00PM,60878.395,0.0,-51.025000000001455,149.39440476190464,131.30934523809515,1.1377286551160313,53.22137832569204
10/24/2021,11:00PM,60815.46,0.0,-62.93499999999767,149.1931249999999,131.49665178571416,1.134577367362355,53.15231880137118
10/25/2021,12:00AM,61793.02,977.5599999999977,0.0,152.10252976190463,130.8639136904761,1.1622954370878962,53.75285065824469
10/25/2021,1:00AM,61722.95,0.0,-70.06999999999971,150.61808035714273,131.07245535714276,1.1491207664245136,53.469343574223736
10/25/2021,2:00AM,61925.45,202.5,0.0,150.7034970238094,131.07245535714276,1.1497724416100736,53.48344872952928
10/25/2021,3:00AM,62060.415,134.96500000000378,0.0,149.9470089285713,131.07245535714276,1.144000915524163,53.358228872046865
10/25/2021,4:00AM,62048.29,0.0,-12.125,147.64583333333323,131.10854166666655,1.126134357505947,52.96628378777314
10/25/2021,5:00AM,61825.67,0.0,-222.62000000000262,147.64583333333323,131.72525297619038,1.1208620214987974,52.84936078522885
10/25/2021,6:00AM,62030.79,205.12000000000262,0.0,148.01159226190467,131.72525297619038,1.123638701902194,52.91101075223972
10/25/2021,7:00AM,62627.675,596.885000000002,0.0,149.42885416666658,131.72525297619038,1.134397928950466,53.1483803260752
10/25/2021,8:00AM,62720.625,92.94999999999709,0.0,149.39504464285704,131.72525297619038,1.1341412619633422,53.14274561750276
10/25/2021,9:00AM,62723.455,2.8300000000017462,0.0,149.4034672619047,131.08331845238087,1.1397595744890991,53.265777523684385
10/25/2021,10:00AM,62784.845,61.38999999999942,0.0,149.58617559523802,130.86995535714277,1.1430138811235846,53.3367464948151
10/25/2021,11:00AM,62760.64,0.0,-24.205000000001746,149.58617559523802,130.07880952380944,1.1499657487859924,53.48763111390664
10/25/2021,12:00PM,62712.365,0.0,-48.275000000001455,148.97502976190466,130.22248511904755,1.1440038916913144,53.35829361712855
10/25/2021,1:00PM,63242.045,529.6800000000003,0.0,150.36108630952373,130.22248511904755,1.1546476491526463,53.588699275574456
10/25/2021,2:00PM,63320.465,78.41999999999825,0.0,148.28592261904754,130.22248511904755,1.138712123973726,53.2428890830805
10/25/2021,3:00PM,63617.21,296.7450000000026,0.0,148.5890773809523,130.22248511904755,1.1410400995274683,53.29372858449957
10/25/2021,4:00PM,63623.84,6.629999999997381,0.0,148.51241071428564,130.22248511904755,1.1404513635146627,53.280881918382825
10/25/2021,5:00PM,63086.195,0.0,-537.6449999999968,148.51241071428564,131.2521726190475,1.1315043991335294,53.08477897552046
10/25/2021,6:00PM,63158.125,71.93000000000029,0.0,148.37668154761894,131.2521726190475,1.1304702892673206,53.062006776733554
10/25/2021,7:00PM,62696.51,0.0,-461.61499999999796,148.37668154761894,132.4303869047618,1.1204126561551544,52.839368455135826
10/25/2021,8:00PM,62546.82,0.0,-149.69000000000233,148.26427083333323,132.87589285714276,1.1158101567207137,52.73678043261233
10/25/2021,9:00PM,62812.935,266.11499999999796,0.0,149.05627976190468,132.74642857142848,1.122864708045235,52.89384216477861
10/25/2021,10:00PM,63008.98,196.04500000000553,0.0,149.63974702380943,132.16089285714276,1.1322543589771308,53.10128007055816
10/25/2021,11:00PM,63083.61,74.62999999999738,0.0,149.5805654761904,132.16089285714276,1.1318065597353157,53.09142870241663
10/26/2021,12:00AM,63095.315,11.705000000001746,0.0,148.97370535714276,132.16089285714276,1.1272147315028627,52.99017136396443
10/26/2021,1:00AM,62679.54,0.0,-415.77500000000146,148.97370535714276,131.8351785714285,1.1299996478286605,53.05163543010872
10/26/2021,2:00AM,62724.025,44.48500000000058,0.0,148.74135416666658,131.8351785714285,1.1282372108752317,53.01275652497623
10/26/2021,3:00AM,62781.6,57.57499999999709,0.0,148.91270833333323,130.98401785714276,1.1368769317776184,53.20273315093897
10/26/2021,4:00AM,62463.12,0.0,-318.4799999999959,148.91270833333323,131.81754464285703,1.129688075565308,53.04476690866768
10/26/2021,5:00AM,62396.45,0.0,-66.67000000000553,148.16227678571417,132.01596726190468,1.1223057320920662,52.88143527679923
10/26/2021,6:00AM,62358.39,0.0,-38.05999999999767,146.88605654761895,132.12924107142848,1.1116847062507005,52.64444559171423
10/26/2021,7:00AM,62434.445,76.05500000000029,0.0,147.11241071428563,131.95313988095228,1.1148837446915625,52.71607706522699
10/26/2021,8:00AM,62819.875,385.4300000000003,0.0,148.25952380952373,131.90480654761896,1.1239887892637221,52.91877221505257
10/26/2021,9:00AM,62659.165,0.0,-160.70999999999913,147.8721874999999,132.38311011904753,1.1170019148743642,52.76338708180403
10/26/2021,10:00AM,63011.195,352.02999999999884,0.0,148.91989583333324,130.9706398809523,1.1370479366115658,53.20647783008707
10/26/2021,11:00AM,62706.765,0.0,-304.4300000000003,148.2434523809523,131.87668154761897,1.1241066323573172,52.92138422965104
10/26/2021,12:00PM,62488.2,0.0,-218.56500000000233,148.1052529761904,132.52717261904755,1.1175463118188027,52.77553107487505
10/26/2021,1:00PM,62208.09,0.0,-280.1100000000006,148.1052529761904,132.28322916666662,1.1196071785455832,52.821446817038385
10/26/2021,2:00PM,61902.59,0.0,-305.5,147.915238095238,133.1924553571428,1.110537662952586,52.618708609017354
10/26/2021,3:00PM,62513.33,610.7400000000052,0.0,149.7329166666666,131.58693452380945,1.1379010933610114,53.22515138303747
10/26/2021,4:00PM,62043.785,0.0,-469.54499999999825,149.7329166666666,132.7101785714285,1.1282700262970107,53.0134810130317
10/26/2021,5:00PM,62447.495,403.7099999999991,0.0,150.93443452380947,131.49321428571423,1.1478496083900764,53.44180541813859
10/26/2021,6:00PM,62318.44,0.0,-129.0550000000003,150.93443452380947,131.85757440476183,1.1446777722490753,53.37294893715793
10/26/2021,7:00PM,61967.89,0.0,-350.5500000000029,150.93443452380947,131.8754910714285,1.1445222557848747,53.36956763668514
10/26/2021,8:00PM,62095.32,127.43000000000029,0.0,151.3136904761904,131.12107142857135,1.1539998020731477,53.57474039516922
10/26/2021,9:00PM,60806.875,0.0,-1288.4449999999997,151.1878571428571,134.9557291666666,1.1202774278381635,52.83636061628027
10/26/2021,10:00PM,60300.115,0.0,-506.76000000000204,149.0952529761904,136.4639434523809,1.092561516282264,52.21167969405059
10/26/2021,11:00PM,60304.33,4.2150000000037835,0.0,148.0572321428571,136.4639434523809,1.084954958776504,52.03733319079367
10/27/2021,12:00AM,60675.445,371.11499999999796,0.0,149.1617410714285,135.1647172619047,1.103555307132424,52.46143533239426
10/27/2021,1:00AM,60516.605,0.0,-158.8399999999965,147.7425446428571,135.63745535714278,1.0892459184953063,52.1358404414063
10/27/2021,2:00AM,60414.875,0.0,-101.7300000000032,147.7425446428571,135.39936011904757,1.091161320946842,52.17968169250486
10/27/2021,3:00AM,60741.775,326.90000000000146,0.0,148.277931547619,135.39936011904757,1.0951154526671927,52.26993344319296
10/27/2021,4:00AM,61226.505,484.7299999999959,0.0,149.7205803571428,135.1021428571428,1.1082028544540374,52.566234416802814
10/27/2021,5:00AM,60921.24,0.0,-305.2649999999994,149.7205803571428,135.17794642857137,1.1075814088968707,52.552248004341145
10/27/2021,6:00AM,60695.585,0.0,-225.65499999999884,149.7205803571428,132.79860119047615,1.1274258841205342,52.99483721317068
10/27/2021,7:00AM,59948.21,0.0,-747.375,148.64889880952376,135.022931547619,1.1009159489112355,52.40171314239233
10/27/2021,8:00AM,59281.845,0.0,-666.364999999998,148.64889880952376,134.66709821428566,1.1038249192314957,52.46752755617663
10/27/2021,9:00AM,58928.925,0.0,-352.91999999999825,148.55391369047615,135.7174553571428,1.094582220831904,52.25778248022984
10/27/2021,10:00AM,58927.2,0.0,-1.7250000000058208,147.76077380952376,135.72258928571424,1.0886969854256725,52.12326120171031
10/27/2021,11:00AM,58569.34,0.0,-357.8600000000006,147.76077380952376,136.09662202380946,1.0857049323654315,52.05457951015708
10/27/2021,12:00PM,59055.71,486.3700000000026,0.0,147.54693452380948,136.09662202380946,1.0841337009672205,52.0184333886107
10/27/2021,1:00PM,59035.655,0.0,-20.05500000000029,147.54693452380948,135.7412946428571,1.0869716169424617,52.08367991774321
10/27/2021,2:00PM,59187.14,151.48500000000058,0.0,147.9977827380952,135.24349702380945,1.0943060923072727,52.25148779955504
10/27/2021,3:00PM,58842.08,0.0,-345.0599999999977,145.35772321428564,136.27046130952374,1.0666854857423662,51.613343834908974
10/27/2021,4:00PM,58922.24,80.15999999999622,0.0,144.51403273809515,136.27046130952374,1.0604941918399104,51.46795346668491
10/27/2021,5:00PM,58965.74,43.5,0.0,142.3296279761904,136.27046130952374,1.0444642706015643,51.08743085513745
10/27/2021,6:00PM,58767.56,0.0,-198.1800000000003,142.3296279761904,136.62724702380945,1.0417367770821528,51.022090054669015
10/27/2021,7:00PM,59217.57,450.01000000000204,0.0,143.42252976190468,136.62724702380945,1.0497359266626447,51.21322766546869
10/27/2021,8:00PM,58920.04,0.0,-297.52999999999884,142.51790178571423,137.5127529761904,1.036397706403205,50.893678732026586
10/27/2021,9:00PM,58794.315,0.0,-125.72499999999854,142.51790178571423,137.07952380952372,1.0396731606957381,50.972537204985464
10/27/2021,10:00PM,58803.28,8.964999999996508,0.0,140.94316964285704,137.07952380952372,1.028185433724602,50.694843608871636
10/27/2021,11:00PM,58462.635,0.0,-340.6449999999968,140.94316964285704,137.89702380952372,1.0220900041870442,50.54621713527349
10/28/2021,12:00AM,58279.66,0.0,-182.97499999999854,140.94316964285704,138.14346726190465,1.0202666288637774,50.501583023107585
10/28/2021,1:00AM,58984.445,704.7849999999962,0.0,142.1827976190475,138.14346726190465,1.029240111293028,50.72046947845901
10/28/2021,2:00AM,58977.36,0.0,-7.084999999999127,140.28013392857133,138.16455357142846,1.015312034110465,50.37989239014353
10/28/2021,3:00AM,58894.535,0.0,-82.82499999999709,140.28013392857133,138.22909226190464,1.014837988393793,50.36821790335663
10/28/2021,4:00AM,58868.895,0.0,-25.640000000006694,140.28013392857133,137.83441964285706,1.0177438573910011,50.43969548775989
10/28/2021,5:00AM,59072.25,203.3550000000032,0.0,140.88535714285703,137.68950892857134,1.0232105426125355,50.573606703891635
